,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Byzantine,266,275,Byzantine Empire,0.35212504863739014,0.3722924292087555,,
1,Byzantium,396,405,Byzantium,0.35660606622695923,0.36984890699386597,28.98472222,41.01527778
2,Byzantine,443,452,Byzantine Empire,0.3924928307533264,0.3722924292087555,,
3,Byzantine army,468,482,Byzantine Empire,0.5522561073303223,0.45259392261505127,,
4,Byzantines,507,517,Byzantium,0.18629230558872223,0.30514559149742126,28.98472222,41.01527778
5,Byzantium,1349,1358,Byzantium,0.4408940076828003,0.36984890699386597,28.98472222,41.01527778
6,Byzantines,1649,1659,Byzantine Empire,0.29121994972229004,0.30514559149742126,,
7,Byzantines,2031,2041,Byzantine Empire,0.2405657172203064,0.30514559149742126,,
8,principate,2371,2381,Roman Empire,0.582297682762146,0.7236024737358093,,
9,presiding prince of Armenia,2417,2444,Arminiya,0.48557227849960327,0.3333333432674408,,
10,Armenia,2437,2444,Armenia,0.5614365339279175,0.9456886649131775,45,40
11,Byzantine,2945,2954,Byzantine Empire,0.39412441849708557,0.3722924292087555,,
12,principate,3742,3752,Roman Empire,0.561519205570221,0.7236024737358093,,
13,Armenia,3814,3821,Armenia,0.5388505458831787,0.9456886649131775,45,40
14,Darband,3883,3890,Derbent,0.38671875,0.2734375,48.3,42.05
15,Caspian Gates,3898,3911,Derbent,1.0,1.0,48.3,42.05
16,Nerse,4118,4123,Nerse,0.5,1.0,74.4285,15.5999
17,Nerse,4509,4514,Nerse,0.5,1.0,74.4285,15.5999
18,Armenia,4911,4918,Kingdom of Armenia (antiquity),0.5335411429405212,0.9456886649131775,,
