,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,northern areas,50,64,Gilgit-Baltistan,0.1604042649269104,0.09298085421323776,75.9,35.35
1,Chora,367,372,Chora Church,0.11762642860412598,0.09537572413682938,28.93916667,41.03111111
2,Paytakaran,428,438,Paytakaran,0.5,1.0,48.4333,39.2333
3,Arax River,458,468,Aras (river),0.4318181872367859,0.8636363744735718,48.4535,40.0184
4,Gandzak,524,531,"Ganja, Azerbaijan",0.43153536319732666,0.5600000023841858,46.36055556,40.68277778
5,Arminiya,762,770,Arminiya,0.7390840649604797,1.0,,
6,Arminiya,1221,1229,Arminiya,0.660546064376831,1.0,,
7,caliph,1912,1918,Fatimid Caliphate,0.4401300549507141,0.6095178127288818,,
8,al-Malik,1970,1978,"Almaliq, Xinjiang",0.2916666567325592,0.5833333134651184,80.53305556,44.24
9,caliph,2675,2681,Fatimid Caliphate,0.5381914973258972,0.6095178127288818,,
