,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,al-Malik,12,20,"Almaliq, Xinjiang",0.32664281129837036,0.5833333134651184,80.53305556,44.24
1,Byzantine,549,558,Byzantine Empire,0.4563583731651306,0.3722924292087555,,
2,Byzantine,730,739,Byzantine Empire,0.25725623965263367,0.3722924292087555,,
3,Vanand,806,812,Vanand,0.27272728085517883,0.5454545617103577,,
4,allies,1150,1156,Allies of World War II,0.22163867950439453,0.08009790629148483,,
5,Byzantine,1169,1178,Byzantine Empire,0.35829001665115356,0.3722924292087555,,
6,Babylon,3109,3116,Babylonia,0.2636356055736542,0.353723406791687,,
7,Poti,5253,5257,Poti,0.3696969747543335,0.739393949508667,41.67638889,42.14194444
8,caliph,5448,5454,Fatimid Caliphate,0.4672771096229553,0.6095178127288818,,
9,Armenia,6149,6156,Armenia,0.5123494267463684,0.9456886649131775,45,40
10,Byzantine,6188,6197,Byzantine Empire,0.3050096929073334,0.3722924292087555,,
