,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Byzantines,985,995,Byzantine Empire,0.18872258067131042,0.30514559149742126,,
1,Byzantine,1137,1146,Byzantine Empire,0.44018441438674927,0.3722924292087555,,
2,Byzantine,1362,1371,Byzantine Empire,0.32669150829315186,0.3722924292087555,,
3,Bishan,1474,1480,"Bishan, Singapore",0.1402985006570816,0.2805970013141632,,
4,Commagene,1482,1491,Kingdom of Commagene,0.5,1.0,,
5,Byzantine army,1677,1691,Byzantine Empire,0.22629696130752563,0.45259392261505127,,
6,Cilicia,1747,1754,Cilicia,0.5078755617141724,0.7998647689819336,35.48333333,36.86666667
7,Bishan,1759,1765,"Bishan, Singapore",0.1402985006570816,0.2805970013141632,,
8,Byzantine,2070,2079,Byzantine Empire,0.2023358792066574,0.3722924292087555,,
9,Byzantine,2139,2148,Byzantine Empire,0.28450000286102295,0.3722924292087555,,
