,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,0,Byzantium,167,176,Byzantine Empire,0.3773663341999054,0.369848906993866,,,True
1,1,1,1,Constantinople,384,398,Constantinople,0.6166293025016785,0.7938305735588074,28.95555556,41.01388889,True
2,2,2,2,Byzantines,760,770,Byzantium,0.3217117190361023,0.3051455914974213,28.98472222,41.01527778,True
3,3,3,3,Pontic,809,815,Black Sea,0.21829906105995173,0.14005602896213531,35.0,44.0,True
4,4,4,4,Lord's,1427,1433,Lord's Cricket Ground,0.1293920874595642,0.2587841749191284,-0.1727,51.5294,False
5,5,5,5,St. Sophia,2517,2527,Hagia Sophia,0.3198800384998321,0.08805031329393387,28.9799,41.0085,True
6,6,6,6,Byzantines,2920,2930,Byzantine Empire,0.1875157356262207,0.3051455914974213,,,False
7,7,7,7,temple,3910,3916,Temple in Jerusalem,0.10184305161237717,0.06355194747447968,35.23547,31.77765,False
8,8,8,8,Red Sea,5031,5038,Red Sea,0.4013992249965668,0.8027984499931335,38.0,22.0,True
9,9,9,9,Egyptian,5098,5106,Egypt,0.17713391780853271,0.09955663233995438,30.0,26.0,False
10,10,10,10,g108,5622,5626,China National Highway 108,0.3571428656578064,0.7142857313156128,,,False
11,11,11,11,wild beast,5726,5736,Wild Beast (roller coaster),0.4650872349739074,0.09389671683311462,-79.54315833,43.84415,False
12,12,12,12,beast,5731,5736,The Beast (roller coaster),0.25769373774528503,0.0972486138343811,-84.266,39.3402,False
13,13,13,13,Constantinople,6112,6126,Constantinople,0.559477686882019,0.7938305735588074,28.95555556,41.01388889,True
14,14,14,14,g109,7082,7086,China National Highway 109,0.1428571492433548,0.2857142984867096,,,False
15,15,15,15,Thrace,7759,7765,Thrace,0.4224146008491516,0.7487103939056396,26.0,42.0,True
16,16,16,16,g110,8596,8600,China National Highway 110,0.3333333432674408,0.6666666865348816,,,False
17,17,17,17,Mediterranean,9811,9824,Mediterranean Sea,0.1935197114944458,0.2491990923881531,18.0,35.0,True
18,18,18,18,gird,10226,10230,Gird,0.11627907305955887,0.2325581461191177,78.2,26.2,False
