,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Cilician,587,595,Cilicia,0.12534266710281372,0.05056179687380791,35.48333333,36.86666667
1,Vard,1295,1299,Vardø (town),0.43754246830940247,0.6298507452011108,31.11055556,70.37027778
2,allies,1368,1374,Allies of World War II,0.22000013291835785,0.08009790629148483,,
3,Byzantines,1439,1449,Byzantine Empire,0.18826375901699066,0.30514559149742126,,
4,Syria,1482,1487,Syria,0.37662237882614136,0.7532447576522827,38,35
5,Euphrates,1516,1525,Euphrates,0.512818455696106,0.7019608020782471,47.44194444,31.005
6,Vard,1665,1669,Fincantieri,0.3149253726005554,0.6298507452011108,13.77571111,45.63557778
7,Byzantine,1832,1841,Byzantine Empire,0.3636290431022644,0.3722924292087555,,
8,Byzantine,2143,2152,Byzantine Empire,0.18614621460437775,0.3722924292087555,,
9,Byzantine,2263,2272,Byzantine Empire,0.411329984664917,0.3722924292087555,,
10,Byzantine,2299,2308,Byzantine Empire,0.41857367753982544,0.3722924292087555,,
11,Lord's,2409,2415,Lord's Cricket Ground,0.1293920874595642,0.2587841749191284,-0.1727,51.5294
12,caliph,2491,2497,Fatimid Caliphate,0.5273418426513672,0.6095178127288818,,
13,Nerse,2670,2675,Nerse,0.5,1.0,74.4285,15.5999
14,al-Malik,3759,3767,"Almaliq, Xinjiang",0.34413087368011475,0.5833333134651184,80.53305556,44.24
15,al-Malik,3901,3909,"Almaliq, Xinjiang",0.2916666567325592,0.5833333134651184,80.53305556,44.24
16,Aragatsotn,4842,4852,Aragatsotn Province,0.2905575633049011,0.1515151560306549,44.16666667,40.41666667
17,Lord's,4961,4967,Lord's Cricket Ground,0.14758498966693878,0.2587841749191284,-0.1727,51.5294
