,Unnamed: 0,Unnamed: 0.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,Cilician,587,595,Cilicia,0.12534266710281372,0.05056179687380792,35.48333333,36.86666667,True
1,1,1,Vard,1295,1299,Vardø (town),0.4375424683094025,0.6298507452011108,31.11055556,70.37027778,False
2,2,2,allies,1368,1374,Allies of World War II,0.22000013291835785,0.08009790629148482,,,False
3,3,3,Byzantines,1439,1449,Byzantine Empire,0.18826375901699066,0.3051455914974213,,,False
4,4,4,Syria,1482,1487,Syria,0.37662237882614136,0.7532447576522827,38.0,35.0,True
5,5,5,Euphrates,1516,1525,Euphrates,0.5128184556961061,0.7019608020782471,47.44194444,31.005,True
6,6,6,Vard,1665,1669,Fincantieri,0.3149253726005554,0.6298507452011108,13.77571111,45.63557778,False
7,7,7,Byzantine,1832,1841,Byzantine Empire,0.3636290431022644,0.3722924292087555,,,False
8,8,8,Byzantine,2143,2152,Byzantine Empire,0.18614621460437766,0.3722924292087555,,,False
9,9,9,Byzantine,2263,2272,Byzantine Empire,0.41132998466491705,0.3722924292087555,,,True
10,10,10,Byzantine,2299,2308,Byzantine Empire,0.41857367753982544,0.3722924292087555,,,False
11,11,11,Lord's,2409,2415,Lord's Cricket Ground,0.1293920874595642,0.2587841749191284,-0.1727,51.5294,False
12,12,12,caliph,2491,2497,Fatimid Caliphate,0.5273418426513672,0.6095178127288818,,,False
13,13,13,Nerse,2670,2675,Nerse,0.5,1.0,74.4285,15.5999,False
14,14,14,al-Malik,3759,3767,"Almaliq, Xinjiang",0.34413087368011475,0.5833333134651184,80.53305556,44.24,False
15,15,15,al-Malik,3901,3909,"Almaliq, Xinjiang",0.2916666567325592,0.5833333134651184,80.53305556,44.24,False
16,16,16,Aragatsotn,4842,4852,Aragatsotn Province,0.2905575633049011,0.1515151560306549,44.16666667,40.41666667,True
17,17,17,Lord's,4961,4967,Lord's Cricket Ground,0.14758498966693878,0.2587841749191284,-0.1727,51.5294,False
