,Unnamed: 0,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,Byzantium,263,272,Byzantium,0.4336611032485962,0.369848906993866,28.98472222,41.01527778,True
1,1,Judaea,496,502,Judea (Roman province),0.3922858834266663,0.5686812996864319,34.9,32.5,True
2,2,Judaea,621,627,Judea (Roman province),0.4460195302963257,0.5686812996864319,34.9,32.5,True
3,3,Asorestan,632,641,Asōristān,0.5815574526786804,1.0,47.57805556,30.89472222,True
4,4,Asorestan,1024,1033,Asōristān,0.6487069129943848,1.0,47.57805556,30.89472222,True
5,5,Byzantines,1828,1838,Byzantine Empire,0.2588341236114502,0.3051455914974213,,,False
6,6,Judaea,1947,1953,Judea (Roman province),0.3950458467006683,0.5686812996864319,34.9,32.5,True
7,7,Byzantines,1987,1997,Byzantine Empire,0.2588341236114502,0.3051455914974213,,,False
8,8,Judaea,2032,2038,Judea (Roman province),0.31366103887557983,0.5686812996864319,34.9,32.5,True
9,9,Judaea,2104,2110,Judea (Roman province),0.4504024386405945,0.5686812996864319,34.9,32.5,True
10,10,Asorestan,2115,2124,Asōristān,0.5815574526786804,1.0,47.57805556,30.89472222,True
11,11,Arabia,2706,2712,Arabian Peninsula,0.12841348350048065,0.08523093163967133,46.0,23.0,False
12,12,Byzantines,2719,2729,Byzantine Empire,0.2815829813480377,0.3051455914974213,,,False
13,13,Byzantine,2873,2882,Byzantine Empire,0.3404908776283264,0.3722924292087555,,,False
14,14,Byzantine,3417,3426,Byzantine Empire,0.3215086460113525,0.3722924292087555,,,False
15,15,Byzantine,3590,3599,Byzantine Empire,0.2517154216766357,0.3722924292087555,,,False
16,16,Judaea,3728,3734,Judea (Roman province),0.4066768288612366,0.5686812996864319,34.9,32.5,True
17,17,Asorestan,3739,3748,Asōristān,0.7446724176406859,1.0,47.57805556,30.89472222,True
18,18,Jerusalem,3802,3811,Kingdom of Jerusalem,0.3695585727691649,0.5162236094474792,,,False
19,19,Judaea,3856,3862,Judea (Roman province),0.4448281824588776,0.5686812996864319,34.9,32.5,True
20,20,Byzantium,3913,3922,Byzantine Empire,0.386129230260849,0.369848906993866,,,True
21,21,Byzantines,3946,3956,Byzantium,0.3561260700225829,0.3051455914974213,28.98472222,41.01527778,False
22,22,Judaea,4028,4034,Judea (Roman province),0.5213125348091125,0.5686812996864319,34.9,32.5,True
