,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,0,0,Khurasan,276,284,Khorasan Province,0.4749403297901154,0.9498806595802308,,,False
1,1,1,1,1,Khurasan,559,567,Greater Khorasan,0.5304336547851562,0.9498806595802308,,,True
2,2,2,2,2,Kahat,697,702,Tell Barri,0.30000001192092896,0.6000000238418579,41.12722222,36.73916667,False
3,3,3,3,3,Syria,998,1003,Syria,0.5563439130783081,0.7532447576522827,38.0,35.0,False
4,4,4,4,4,Tigris River,1334,1346,Tigris,0.2763975262641907,0.5527950525283813,39.77277778,38.43333333,True
5,5,5,5,5,Abbasid,1474,1481,Abbasid Caliphate,0.4786927998065949,0.7115275263786316,,,False
6,6,6,6,6,al-Kufa,1551,1558,Kufa,0.3431282937526703,0.4705882370471954,44.4,32.03,True
7,7,7,7,7,Basra,1605,1610,Basra,0.4223380982875824,0.8446761965751648,47.81666667,30.5,True
8,8,8,8,8,Abbasids,1890,1898,Abbasid Caliphate,0.3385758996009827,0.5365853905677795,,,False
9,9,9,9,9,Abbasids,2678,2686,Abbasid Caliphate,0.3343213796615601,0.5365853905677795,,,False
