,Unnamed: 0,Unnamed: 0.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0.0,al-Malik,12,20,"Almaliq, Xinjiang",0.3266428112983704,0.5833333134651184,80.53305556,44.24,False
1,1,1.0,Byzantine,549,558,Byzantine Empire,0.4563583731651306,0.3722924292087555,,,False
2,2,2.0,Byzantine,730,739,Byzantine Empire,0.2572562396526337,0.3722924292087555,,,False
3,3,3.0,Vanand,806,812,Vanand,0.27272728085517883,0.5454545617103577,,,True
4,4,,allies,1150,1156,Allies of World War II,0.22163867950439453,0.08009790629148482,,,False
5,5,,Byzantine,1169,1178,Byzantine Empire,0.3582900166511536,0.3722924292087555,,,False
6,6,,Babylon,3109,3116,Babylonia,0.2636356055736542,0.353723406791687,,,True
7,7,,Poti,5253,5257,Poti,0.3696969747543335,0.739393949508667,41.67638889,42.14194444,True
8,8,,caliph,5448,5454,Fatimid Caliphate,0.4672771096229553,0.6095178127288818,,,False
9,9,,Armenia,6149,6156,Armenia,0.5123494267463684,0.9456886649131776,45.0,40.0,True
10,10,,Byzantine,6188,6197,Byzantine Empire,0.3050096929073334,0.3722924292087555,,,False
