,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Constantinople,45,59,Constantinople,0.5861627459526062,0.7938305735588074,28.95555556,41.01388889
1,Byzantines,113,123,Byzantine Empire,0.2540678381919861,0.30514559149742126,,
2,Byzantine,217,226,Byzantine Empire,0.5049301385879517,0.3722924292087555,,
3,Byzantines,1178,1188,Byzantine Empire,0.21834635734558105,0.30514559149742126,,
4,Galatia,1232,1239,Galatia,0.6113724708557129,1.0,,
5,Amorium,1287,1294,Amorium,0.4416666626930237,0.8833333253860474,31.28916667,39.02055556
6,Armenia,1752,1759,Armenia,0.6259973049163818,0.9456886649131775,45,40
7,Pontus,1854,1860,Pontus (region),0.44101613759994507,0.6095041036605835,38,40.6
8,Koloneia,1888,1896,Koloneia (theme),0.5945974588394165,0.9166666865348816,,
9,Amorium,2157,2164,Amorium,0.4416666626930237,0.8833333253860474,31.28916667,39.02055556
