,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Byzantine,46,55,Byzantine Empire,0.4151183068752289,0.3722924292087555,,
1,Byzantines,137,147,Byzantine Empire,0.3070497214794159,0.30514559149742126,,
2,Byzantines,349,359,Byzantine Empire,0.24789059162139893,0.30514559149742126,,
3,Syrian,420,426,Syria,0.22579769790172577,0.13753128051757812,38,35
4,Cilicia,427,434,Cilicia,0.6842063665390015,0.7998647689819336,35.48333333,36.86666667
5,Mysia,450,455,Mysia,0.6555280685424805,1.0,28.5,40
6,Asia Minor,531,541,Anatolia,0.5125585794448853,0.7673410177230835,35,39
7,Bithynia,573,581,Bithynia,0.5677891373634338,1.0,31,40.5
8,Sangarius,646,655,Sakarya River,0.43469545245170593,0.7804877758026123,30.6489,41.1264
9,ios,663,666,Ios (island),0.480029821395874,0.737475574016571,25.33333333,36.71666667
10,Byzantine,673,682,Byzantine Empire,0.40873032808303833,0.3722924292087555,,
11,Byzantine,1073,1082,Byzantine Empire,0.25725623965263367,0.3722924292087555,,
12,g103,1223,1227,China National Highway 103,0.1785714328289032,0.3571428656578064,,
13,Byzantine,1243,1252,Byzantine Empire,0.22183717787265778,0.3722924292087555,,
14,Byzantine,1495,1504,Byzantine Empire,0.2396826595067978,0.3722924292087555,,
15,Byzantine,1593,1602,Byzantine Empire,0.2616919279098511,0.3722924292087555,,
16,Byzantine army,1728,1742,Byzantine Empire,0.22629696130752563,0.45259392261505127,,
17,Byzantines,2025,2035,Byzantine Empire,0.3050364851951599,0.30514559149742126,,
18,Byzantine,2231,2240,Byzantine Empire,0.27053332328796387,0.3722924292087555,,
19,caliph,2500,2506,Fatimid Caliphate,0.46743300557136536,0.6095178127288818,,
