,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Byzantine,30,39,Byzantine Empire,0.3836345076560974,0.3722924292087555,,
1,Armenian,392,400,Armenia,0.2821759581565857,0.379287987947464,45,40
2,bury,1884,1888,Bury,0.21410691738128662,0.2901257872581482,-2.298,53.593
3,holy temple,2035,2046,Temple in Jerusalem,0.34054526686668396,0.25833332538604736,35.23547,31.77765
4,bury,2198,2202,Metropolitan Borough of Bury,0.2015048861503601,0.2901257872581482,-2.29805556,53.59277778
5,Judaea,2267,2273,Judea,0.37227684259414673,0.5686812996864319,35.30638889,31.69888889
6,Armenian,2634,2642,Armenia,0.30389758944511414,0.379287987947464,45,40
7,Syria,2857,2862,Syria,0.545382022857666,0.7532447576522827,38,35
8,Armenia,3151,3158,Armenia,0.6167020201683044,0.9456886649131775,45,40
9,Vaspurakan,3253,3263,Vaspurakan,0.4655172526836395,0.931034505367279,44,38.8
10,Arabs,3836,3841,Abbasid Caliphate,0.2856384217739105,0.1986066848039627,,
11,Syria,4431,4436,Syria,0.5308184027671814,0.7532447576522827,38,35
