,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,shah of Iran,56,68,Iran,0.5493197441101074,0.5986394286155701,53.0,32.0,False
1,Iran,64,68,Iran,0.6558403372764587,0.9366254210472108,53.0,32.0,False
2,shah of Iran,128,140,Iran,0.6143625378608704,0.5986394286155701,53.0,32.0,False
3,Iran,136,140,Iran,0.678341269493103,0.9366254210472108,53.0,32.0,False
4,Xosrov,207,213,Xosrov,0.5,1.0,47.57944444,40.62555556,False
5,Goght,742,747,Goght,0.5083386301994324,1.0,44.77944444,40.13944444,False
6,Goght'n,742,749,Goghtn,0.375,0.75,,,True
7,dastakert,767,776,Dastakert,0.5,1.0,46.03666667,39.36833333,False
8,Arax,899,903,Aras (river),0.1767989546060562,0.24210526049137115,48.4535,40.0184,True
9,Jugha,933,938,"Julfa, Azerbaijan (city)",0.2262078821659088,0.3684210479259491,45.63083333,38.95583333,True
10,Artaz,1086,1091,Mardistan,0.300669938325882,0.4615384638309479,,,True
11,Byzantine,1104,1113,Byzantine Empire,0.3929523527622223,0.3722924292087555,,,False
12,Byzantine,2262,2271,Byzantine Empire,0.2925958037376404,0.3722924292087555,,,False
13,Byzantines,2417,2427,Byzantine Empire,0.23200476169586184,0.3051455914974213,,,False
