,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,0,Arminiya,226,234,Arminiya,0.5389662981033325,1.0,,,True
1,1,1,1,Euphrates,612,621,Euphrates,0.6653132438659668,0.7019608020782471,47.44194444,31.005,True
2,2,2,2,Euphrates River,612,627,Euphrates,0.6477544903755188,0.5202558636665344,47.44194444,31.005,True
3,3,3,3,Damascus,686,694,Damascus,0.4163712859153748,0.73133385181427,36.29194444,33.51305556,True
4,4,4,4,Rusafa,715,721,"Al-Rusafa, Iraq",0.2211589217185974,0.3409090936183929,44.415236,33.331604,False
5,5,5,5,Damascus,1478,1486,"Damascus, Maryland",0.365666925907135,0.73133385181427,-77.20611111,39.27111111,False
6,6,6,6,iron gates,1537,1547,Iron Gates,0.17465107142925262,0.2007233202457428,22.52972222,44.67111111,False
7,7,7,7,Lord's,1961,1967,Lord's Cricket Ground,0.1293920874595642,0.2587841749191284,-0.1727,51.5294,False
8,8,8,8,Damascus,2118,2126,Damascus,0.4844378232955933,0.73133385181427,36.29194444,33.51305556,True
9,9,9,9,Gilead,2203,2209,Gilead,0.15168538689613342,0.30337077379226685,,,True
10,10,10,10,Damascus,2364,2372,Damascus,0.4727623462677002,0.73133385181427,36.29194444,33.51305556,True
11,11,11,11,Harran,2470,2476,Harran,0.4687876701354981,0.8724138140678406,39.03388889,36.8775,True
12,12,12,12,Syria,2495,2500,Syria,0.4951750338077545,0.7532447576522827,38.0,35.0,False
13,13,13,13,Lord's,2726,2732,Lord's Cricket Ground,0.1293920874595642,0.2587841749191284,-0.1727,51.5294,False
