,Unnamed: 0,Unnamed: 0.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,Byzantines,985,995,Byzantine Empire,0.1887225806713104,0.3051455914974213,,,False
1,1,1,Byzantine,1137,1146,Byzantine Empire,0.4401844143867493,0.3722924292087555,,,True
2,2,2,Byzantine,1362,1371,Byzantine Empire,0.32669150829315186,0.3722924292087555,,,True
3,3,3,Bishan,1474,1480,"Bishan, Singapore",0.1402985006570816,0.2805970013141632,,,False
4,4,4,Commagene,1482,1491,Kingdom of Commagene,0.5,1.0,,,True
5,5,5,Byzantine army,1677,1691,Byzantine Empire,0.2262969613075257,0.4525939226150513,,,False
6,6,6,Cilicia,1747,1754,Cilicia,0.5078755617141724,0.7998647689819336,35.48333333,36.86666667,True
7,7,7,Bishan,1759,1765,"Bishan, Singapore",0.1402985006570816,0.2805970013141632,,,False
8,8,8,Byzantine,2070,2079,Byzantine Empire,0.2023358792066574,0.3722924292087555,,,True
9,9,9,Byzantine,2139,2148,Byzantine Empire,0.2845000028610229,0.3722924292087555,,,False
