,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Byzantium,263,272,Byzantium,0.4336611032485962,0.36984890699386597,28.98472222,41.01527778
1,Judaea,496,502,Judea (Roman province),0.39228588342666626,0.5686812996864319,34.9,32.5
2,Judaea,621,627,Judea (Roman province),0.4460195302963257,0.5686812996864319,34.9,32.5
3,Asorestan,632,641,Asōristān,0.5815574526786804,1.0,47.57805556,30.89472222
4,Asorestan,1024,1033,Asōristān,0.6487069129943848,1.0,47.57805556,30.89472222
5,Byzantines,1828,1838,Byzantine Empire,0.2588341236114502,0.30514559149742126,,
6,Judaea,1947,1953,Judea (Roman province),0.39504584670066833,0.5686812996864319,34.9,32.5
7,Byzantines,1987,1997,Byzantine Empire,0.2588341236114502,0.30514559149742126,,
8,Judaea,2032,2038,Judea (Roman province),0.31366103887557983,0.5686812996864319,34.9,32.5
9,Judaea,2104,2110,Judea (Roman province),0.4504024386405945,0.5686812996864319,34.9,32.5
10,Asorestan,2115,2124,Asōristān,0.5815574526786804,1.0,47.57805556,30.89472222
11,Arabia,2706,2712,Arabian Peninsula,0.12841348350048065,0.08523093163967133,46,23
12,Byzantines,2719,2729,Byzantine Empire,0.2815829813480377,0.30514559149742126,,
13,Byzantine,2873,2882,Byzantine Empire,0.3404908776283264,0.3722924292087555,,
14,Byzantine,3417,3426,Byzantine Empire,0.32150864601135254,0.3722924292087555,,
15,Byzantine,3590,3599,Byzantine Empire,0.25171542167663574,0.3722924292087555,,
16,Judaea,3728,3734,Judea (Roman province),0.4066768288612366,0.5686812996864319,34.9,32.5
17,Asorestan,3739,3748,Asōristān,0.744672417640686,1.0,47.57805556,30.89472222
18,Jerusalem,3802,3811,Kingdom of Jerusalem,0.36955857276916504,0.5162236094474792,,
19,Judaea,3856,3862,Judea (Roman province),0.44482818245887756,0.5686812996864319,34.9,32.5
20,Byzantium,3913,3922,Byzantine Empire,0.386129230260849,0.36984890699386597,,
21,Byzantines,3946,3956,Byzantium,0.356126070022583,0.30514559149742126,28.98472222,41.01527778
22,Judaea,4028,4034,Judea (Roman province),0.5213125348091125,0.5686812996864319,34.9,32.5
