,text_name,start,end,entity_name,rho,link_prob,lon,lat
0,Syria,31,36,Syria,0.5525317192077637,0.7532447576522827,38,35
1,Armenia,136,143,Armenia,0.5321511030197144,0.9456886649131775,45,40
2,Armenia,226,233,Kingdom of Armenia (antiquity),0.6013793349266052,0.9456886649131775,,
3,Vard,483,487,Vardø (town),0.3149253726005554,0.6298507452011108,31.11055556,70.37027778
4,Byzantine,691,700,Byzantine Empire,0.45724213123321533,0.3722924292087555,,
5,Vaspurakan,743,753,Vaspurakan,0.4655172526836395,0.931034505367279,44,38.8
6,Vaspurakan,827,837,Vaspurakan,0.4655172526836395,0.931034505367279,44,38.8
7,Arax River,1327,1337,Aras (river),0.4318181872367859,0.8636363744735718,48.4535,40.0184
8,Armenian,1639,1647,Armenia,0.26377665996551514,0.379287987947464,45,40
9,Arax River,1737,1747,Aras (river),0.4318181872367859,0.8636363744735718,48.4535,40.0184
10,Lord's,2671,2677,Lord's Cricket Ground,0.1293920874595642,0.2587841749191284,-0.1727,51.5294
11,Arabs,3032,3037,Abbasid Caliphate,0.18927806615829468,0.1986066848039627,,
12,Arax River,3400,3410,Aras (river),0.4318181872367859,0.8636363744735718,48.4535,40.0184
13,Shushan,3685,3692,Susa,0.22638210654258728,0.3055555522441864,48.25777778,32.19055556
14,Shushan,3779,3786,Susa,0.20421205461025238,0.3055555522441864,48.25777778,32.19055556
15,caliph,4095,4101,Fatimid Caliphate,0.46743300557136536,0.6095178127288818,,
16,al-Malik,4133,4141,"Almaliq, Xinjiang",0.2916666567325592,0.5833333134651184,80.53305556,44.24
17,Byzantine,4310,4319,Byzantine Empire,0.3863554000854492,0.3722924292087555,,
18,Arabs,4459,4464,Abbasid Caliphate,0.21219925582408905,0.1986066848039627,,
19,Vaspurakan,4983,4993,Vaspurakan,0.5083698630332947,0.931034505367279,44,38.8
20,Arabs,5120,5125,Abbasid Caliphate,0.21907177567481995,0.1986066848039627,,
21,Vaspurakan,5498,5508,Vaspurakan,0.5270001292228699,0.931034505367279,44,38.8
