text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Armenian (lords);;;FALSE;;;;;;;;;
Byzantine (territory);TRUE;TRUE;TRUE;MISSED;MISSED;357;366;Byzantine Empire;0.30322742462158203;0.3722924292087555;;
Gagik;;;;FALSE;;;;;;;;
Artsrunik' House;;;;;FALSE;;;;;;;
Fortress of Nkan;FALSE;TRUE;TRUE;MISSED;TRUE;562;566;Ntoum;0.30000001192092896;0.6000000238418579;9.75388889;0.38444444
Land of Atrpatakan;FALSE;TRUE;TRUE;MISSED;TRUE;688;698;Atropatene;0.4708654880523682;0.75;48.0;37.0
Zarewand;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Butak;FALSE;TRUE;MISSED;MISSED;TRUE;730;735;Mount Butak;0.12556795;0.25;112.45;-7.92
Zidr’o;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Tasuk;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Gaznak;FALSE;TRUE;MISSED;TRUE;TRUE;753;759;Kazlak;0.5;1.0;50.51333333;36.17833333
Ormi;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Surenapat;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
God;;;FALSE;;;;;;;;;
Her;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Ishmaelite;;;;;FALSE;;;;;;;
Her;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Armenian (troops);FALSE;FALSE;FALSE;;;1122;1130;Armenia;0.2583674788475037;0.379287987947464;45.0;40.0
Nkan (fortress);FALSE;TRUE;TRUE;MISSED;TRUE;1172;1176;Ntoum;0.30000001192092896;0.6000000238418579;9.75388889;0.38444444
Vaspurakan;TRUE;TRUE;MISSED;MISSED;TRUE;1227;1237;Vaspurakan;0.5083698630332947;0.931034505367279;44.0;38.8
(country of the) Persians;TRUE;TRUE;MISSED;MISSED;MISSED;1898;1906;Sasanian Empire;0.3720480799674988;0.3249180316925049;;
Country of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Yazid;;;FALSE;;;;;;;;;
Christ;;;FALSE;;;;;;;;;
Country of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Armenia;TRUE;TRUE;TRUE;TRUE;TRUE;992;999;Armenia;0.5600799918174744;0.9456886649131776;45.0;40.0
Vanand;TRUE;TRUE;TRUE;TRUE;TRUE;1194;1200;Vanand;0.27272728085517883;0.5454545617103577;;
Bakkar;;;FALSE;;;;;;;;;
Bagar;FALSE;FALSE;FALSE;;;1464;1469;Bagar, Jhunjhunu;0.15573769807815552;0.31147539615631104;75.5;28.18
al-Tai;FALSE;FALSE;;;;1625;1631;Altai Mountains;0.12788772583007812;0.20867209136486053;89.0;49.0
Country of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Country of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
(Land of) Khurasan;TRUE;TRUE;TRUE;MISSED;MISSED;2224;2232;Greater Khorasan;0.5256198048591614;0.9498806595802308;;
