text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Caspian Gates;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
Darband;TRUE;TRUE;TRUE;TRUE;TRUE;368;375;Derbent;0.38671875;0.2734375;48.3;42.05
Derbend;TRUE;TRUE;TRUE;TRUE;MISSED;377;384;Derbent;0.5576475858688354;0.6315789222717285;48.3;42.05
Marcian;;;FALSE;;;;;;;;;
treasury;FALSE;FALSE;;;;712;720;Al-Khazneh;0.13673675060272214;0.0518324077129364;35.451617;30.32245
Ishmael;;;FALSE;FALSE;;;;;;;;
Darband;TRUE;TRUE;MISSED;MISSED;TRUE;1076;1083;Darband, Tehran;0.13671875;0.2734375;51.42502778;35.82331111
Land of the Huns;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
argu;FALSE;FALSE;;;;1158;1162;Arjuyeh;0.13636364042758942;0.27272728085517883;52.87138889;28.73166667
T’argu;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
(city of the) Huns;;;FALSE;;;;;;;;;
(king of the) Khazars;;;FALSE;;;;;;;;;
Khaqan;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Xak'an;MISSED;MISSED;MISSED;TRUE;MISSED;;;;;;;
arxan;FALSE;FALSE;;;;1779;1784;Arxan;0.5;1.0;119.95;47.18333333
Caucasus Mountains;TRUE;TRUE;MISSED;TRUE;TRUE;2225;2243;Caucasus Mountains;0.3842105269432068;0.7684210538864136;45.0;42.5
Land of the Huns;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
Byzantine (emperor);FALSE;FALSE;;;;581;590;Byzantine Empire;0.26307645440101624;0.3722924292087555;;
 Isaurian;;;FALSE;;;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
