text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Khaqan;;;FALSE;;;;;;;;;
arxan;FALSE;FALSE;;;;732;737;Arxan;0.5;1.0;119.95;47.18333333
Kura River;FALSE;TRUE;MISSED;TRUE;TRUE;887;897;Kura River;0.5;1.0;49.33527778;39.32555556
Land of the Aghuanians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Hejar;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
K'agha;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Ostani;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Marzpanean;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Haband;MISSED;MISSED;TRUE;TRUE;TRUE;;;;;;;
Geghawu;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Shak'e;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Bex;FALSE;TRUE;MISSED;MISSED;TRUE;1021;1024;Bex;0.12288135290145875;0.2457627058029175;7.01666667;46.25
Xeni;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Kambexchan;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Xoghmaz;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Baghasakan;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Khazars;;;;;FALSE;;;;;;;
Iberians;FALSE;FALSE;;;;1238;1246;Kingdom of Iberia;0.42877548933029175;0.6303724646568298;;
Shuch'k;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
K'ue'shkap'or;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Dzelt'd;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Tsuk'e't;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Ve'lists'xe;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
T'iane't;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Erk;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Country of the Aghuanians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Khazar;;;FALSE;;;;;;;;;
Land of the Syrians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
 Aghuan Gates;;;;;FALSE;;;;;;;
