text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Isaurian;;;FALSE;;;;;;;;;
Byzantine (emperor);FALSE;FALSE;;;;46;55;Byzantine Empire;0.4151183068752289;0.3722924292087555;;
Byzantines;FALSE;FALSE;;;;137;147;Byzantine Empire;0.3070497214794159;0.3051455914974213;;
Land of the Byzantines;TRUE;TRUE;MISSED;MISSED;MISSED;349;359;Byzantine Empire;0.2478905916213989;0.3051455914974213;;
Syrian;FALSE;FALSE;FALSE;;;420;426;Syria;0.22579769790172574;0.13753128051757812;38.0;35.0
Cilicia;TRUE;TRUE;MISSED;MISSED;TRUE;427;434;Cilicia;0.6842063665390015;0.7998647689819336;35.48333333;36.86666667
Mysia;TRUE;TRUE;TRUE;TRUE;TRUE;450;455;Mysia;0.6555280685424805;1.0;28.5;40.0
Asia Minor;TRUE;TRUE;TRUE;MISSED;TRUE;531;541;Anatolia;0.5125585794448853;0.7673410177230835;35.0;39.0
Bithynia;TRUE;TRUE;TRUE;TRUE;TRUE;573;581;Bithynia;0.5677891373634338;1.0;31.0;40.5
Sangarius;TRUE;TRUE;TRUE;MISSED;TRUE;646;655;Sakarya River;0.4346954524517059;0.7804877758026123;30.6489;41.1264
ios;FALSE;FALSE;;;;663;666;Ios (island);0.48002982139587397;0.7374755740165709;25.33333333;36.71666667
Byzantine (forces);FALSE;FALSE;;;;673;682;Byzantine Empire;0.4087303280830383;0.3722924292087555;;
Ishmaelites;;;;FALSE;;;;;;;;
Byzantine (general);FALSE;FALSE;;;;1073;1082;Byzantine Empire;0.2572562396526337;0.3722924292087555;;
g103;FALSE;FALSE;;;;1223;1227;China National Highway 103;0.1785714328289032;0.3571428656578064;;
Byzantine (general);FALSE;FALSE;;;;1243;1252;Byzantine Empire;0.22183717787265775;0.3722924292087555;;
Byzantine (general);FALSE;FALSE;;;;1495;1504;Byzantine Empire;0.2396826595067978;0.3722924292087555;;
Byzantine (troops);FALSE;FALSE;FALSE;;;1593;1602;Byzantine Empire;0.2616919279098511;0.3722924292087555;;
Byzantine army;FALSE;FALSE;FALSE;;;1728;1742;Byzantine Empire;0.22629696130752566;0.4525939226150513;;
Ishmaelites;;;;FALSE;FALSE;;;;;;;
Byzantines;FALSE;FALSE;;;;2025;2035;Byzantine Empire;0.3050364851951599;0.3051455914974213;;
Byzantine (troops);FALSE;FALSE;FALSE;;;2231;2240;Byzantine Empire;0.2705333232879639;0.3722924292087555;;
caliph;FALSE;FALSE;;;;2500;2506;Fatimid Caliphate;0.4674330055713654;0.6095178127288818;;
