text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Byzantine;FALSE;FALSE;;;;30;39;Byzantine Empire;0.3836345076560974;0.3722924292087555;;
Dzora Pass;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Armenian;FALSE;FALSE;FALSE;;;392;400;Armenia;0.2821759581565857;0.379287987947464;45.0;40.0
Dwin;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Christ;;;FALSE;;;;;;;;;
bury;FALSE;FALSE;;;;1884;1888;Bury;0.21410691738128665;0.2901257872581482;-2.298;53.593
holy temple;FALSE;FALSE;;;;2035;2046;Temple in Jerusalem;0.340545266866684;0.25833332538604736;35.23547;31.77765
bury;FALSE;FALSE;;;;2198;2202;Metropolitan Borough of Bury;0.2015048861503601;0.2901257872581482;-2.29805556;53.59277778
Judaea;TRUE;TRUE;MISSED;MISSED;MISSED;2267;2273;Judea;0.3722768425941467;0.5686812996864319;35.30638889;31.69888889
Armenian (troops);FALSE;FALSE;FALSE;;;2634;2642;Armenia;0.3038975894451141;0.379287987947464;45.0;40.0
Syria;TRUE;TRUE;MISSED;TRUE;TRUE;2857;2862;Syria;0.545382022857666;0.7532447576522827;38.0;35.0
Land of Armenians;MISSED;MISSED;MISSED;MISSED;;;;;;;;
Land of Armenians;MISSED;MISSED;MISSED;MISSED;;;;;;;;
Oqba;;;;;FALSE;;;;;;;
Armenia;TRUE;TRUE;TRUE;TRUE;TRUE;3151;3158;Armenia;0.6167020201683044;0.9456886649131776;45.0;40.0
Vaspurakan;TRUE;TRUE;TRUE;TRUE;TRUE;3253;3263;Vaspurakan;0.4655172526836395;0.931034505367279;44.0;38.8
Naxjawan;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Taro’n;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Kogovit;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Artsap;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Arabs;FALSE;FALSE;;;;3836;3841;Abbasid Caliphate;0.2856384217739105;0.1986066848039627;;
Syria;TRUE;TRUE;MISSED;TRUE;TRUE;4431;4436;Syria;0.5308184027671814;0.7532447576522827;38.0;35.0
Ishmaelites;;;;FALSE;;;;;;;;
