text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Marwan;;;FALSE;;FALSE;;;;;;;
Muhammad;;;FALSE;;;;;;;;;
Land of the Huns;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Balanjar;TRUE;TRUE;MISSED;MISSED;TRUE;224;232;Balanjar;0.5;1.0;;
Hun;;;;;FALSE;;;;;;;
Barda'a;TRUE;TRUE;MISSED;MISSED;TRUE;700;707;Barda, Azerbaijan;0.75;1.0;47.12666667;40.37444444
Partaw;TRUE;TRUE;MISSED;MISSED;TRUE;709;715;Barda, Azerbaijan;0.4318181872367859;0.3636363744735718;47.12666667;40.37444444
Marwan;;;FALSE;FALSE;;;;;;;;
Marwan;;;FALSE;;;;;;;;;
Kura;;;;FALSE;;;;;;;;
Land of The Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Isahak;;;FALSE;;;;;;;;;
Muslim;;;FALSE;;;;;;;;;
Arminiya;TRUE;TRUE;MISSED;MISSED;TRUE;226;234;Arminiya;0.5389662981033325;1.0;;
Ishmael;;;FALSE;FALSE;;;;;;;;
Euphrates River;TRUE;TRUE;MISSED;TRUE;TRUE;612;627;Euphrates;0.6477544903755188;0.5202558636665344;47.44194444;31.005
Damascus;TRUE;TRUE;MISSED;TRUE;TRUE;686;694;Damascus;0.4163712859153748;0.73133385181427;36.29194444;33.51305556
Rusafa;FALSE;TRUE;TRUE;TRUE;TRUE;715;721;Al-Rusafa, Iraq;0.2211589217185974;0.3409090936183929;44.415236;33.331604
Ishmael;;;FALSE;FALSE;;;;;;;;
Marwan;;;;FALSE;;;;;;;;
Damascus;FALSE;TRUE;TRUE;TRUE;TRUE;1478;1486;Damascus, Maryland;0.365666925907135;0.73133385181427;-77.20611111;39.27111111
iron gates;FALSE;FALSE;;;;1537;1547;Iron Gates;0.17465107142925262;0.2007233202457428;22.52972222;44.67111111
Ishmael;;;FALSE;FALSE;;;;;;;;
Lord's;FALSE;FALSE;;;;1961;1967;Lord's Cricket Ground;0.1293920874595642;0.2587841749191284;-0.1727;51.5294
Damascus;TRUE;TRUE;TRUE;TRUE;MISSED;2118;2126;Damascus;0.4844378232955933;0.73133385181427;36.29194444;33.51305556
Gilead;TRUE;TRUE;MISSED;MISSED;MISSED;2203;2209;Gilead;0.15168538689613342;0.30337077379226685;;
Haz'ael;;;FALSE;FALSE;FALSE;;;;;;;
Benhadad;;;FALSE;FALSE;FALSE;;;;;;;
Damascus;TRUE;TRUE;TRUE;TRUE;TRUE;2364;2372;Damascus;0.4727623462677002;0.73133385181427;36.29194444;33.51305556
Aven;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Harran;TRUE;TRUE;TRUE;TRUE;TRUE;2470;2476;Harran;0.4687876701354981;0.8724138140678406;39.03388889;36.8775
Syria;FALSE;TRUE;MISSED;TRUE;TRUE;2495;2500;Syria;0.4951750338077545;0.7532447576522827;38.0;35.0
Lord's;FALSE;FALSE;;;;2726;2732;Lord's Cricket Ground;0.1293920874595642;0.2587841749191284;-0.1727;51.5294
God;;;FALSE;;;;;;;;;
