text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Mu'awiya;;;;;FALSE;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
;;;;;FALSE;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Cilician;TRUE;TRUE;TRUE;MISSED;;587;595;Cilicia;0.12534266710281372;0.050561796873807914;35.48333333;36.86666667
Bagratid;;;FALSE;;FALSE;;;;;;;
Vard;FALSE;FALSE;;;;1295;1299;Vardø (town);0.4375424683094025;0.6298507452011108;31.11055556;70.37027778
Prince Smbat;;;FALSE;;;;;;;;;
allies;FALSE;FALSE;;;;1368;1374;Allies of World War II;0.22000013291835785;0.08009790629148482;;
(general of the)Byzantines;FALSE;FALSE;;;;1439;1449;Byzantine Empire;0.18826375901699066;0.3051455914974213;;
Syria;TRUE;TRUE;FALSE;TRUE;TRUE;1482;1487;Syria;0.37662237882614136;0.7532447576522827;38.0;35.0
Euphrates;TRUE;TRUE;TRUE;TRUE;MISSED;1516;1525;Euphrates;0.5128184556961061;0.7019608020782471;47.44194444;31.005
Vard;FALSE;FALSE;;;;1665;1669;Fincantieri;0.3149253726005554;0.6298507452011108;13.77571111;45.63557778
Byzantine (troops);FALSE;FALSE;FALSE;;;1832;1841;Byzantine Empire;0.3636290431022644;0.3722924292087555;;
Easter;;;FALSE;;;;;;;;;
Byzantine (troops);FALSE;FALSE;FALSE;;;2143;2152;Byzantine Empire;0.18614621460437772;0.3722924292087555;;
Byzantine (territory);TRUE;TRUE;TRUE;MISSED;MISSED;2263;2272;Byzantine Empire;0.41132998466491705;0.3722924292087555;;
Byzantine (emperor);FALSE;FALSE;;;;2299;2308;Byzantine Empire;0.41857367753982544;0.3722924292087555;;
Lord's;FALSE;FALSE;;;;2409;2415;Lord's Cricket Ground;0.1293920874595642;0.2587841749191284;-0.1727;51.5294
Ishmaelites;;;;FALSE;;;;;;;;
caliph;FALSE;FALSE;;;;2491;2497;Fatimid Caliphate;0.5273418426513672;0.6095178127288818;;
Ishmaelites;;;;FALSE;;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Nerse;FALSE;FALSE;;;;2670;2675;Nerse;0.5;1.0;74.4285;15.5999
(the church of) St.Gregory;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Ishmaelites;;;FALSE;FALSE;;;;;;;;
Armenian (lords);;;FALSE;;;;;;;;;
Mamikonean House;;;;;FALSE;;;;;;;
Smbat;;;;FALSE;;;;;;;;
Bagratuni;;;;;FALSE;;;;;;;
Ishmaelites;;;FALSE;FALSE;;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Smbat;;;;FALSE;;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
al-Malik;FALSE;FALSE;;;;3759;3767;Almaliq, Xinjiang;0.34413087368011475;0.5833333134651184;80.53305556;44.24
al-Malik;FALSE;FALSE;;;;3901;3909;Almaliq, Xinjiang;0.2916666567325592;0.5833333134651184;80.53305556;44.24
Christian (people);;;FALSE;;;;;;;;;
Aruch;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Aragatsotn;TRUE;TRUE;MISSED;TRUE;TRUE;4842;4852;Aragatsotn Province;0.2905575633049011;0.1515151560306549;44.16666667;40.41666667
Lord's;FALSE;FALSE;;;;4961;4967;Lord's Cricket Ground;0.14758498966693878;0.2587841749191284;-0.1727;51.5294
Georgians;;;FALSE;;;;;;;;;
Khazars (people);;;FALSE;;;;;;;;;
Georgian (lords);;;FALSE;;;;;;;;;
Aghuanian (lords);;;FALSE;;;;;;;;;
