text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Harun;;;FALSE;;;;;;;;;
Aharon;;;FALSE;;;;;;;;;
Atrpatakan;FALSE;FALSE;;;;361;371;Atropatene;0.5539445281028748;0.75;48.0;37.0
Armenia;TRUE;TRUE;TRUE;TRUE;TRUE;376;383;Kingdom of Armenia (antiquity);0.6767449975013733;0.9456886649131776;;
Iberia;FALSE;TRUE;MISSED;TRUE;TRUE;398;404;Iberian Peninsula;0.3514416515827179;0.5423365235328674;-4.0;40.5
Georgia;TRUE;TRUE;MISSED;TRUE;TRUE;405;412;Georgia (country);0.2505306899547577;0.3830689191818237;43.5;42.0
Aghuania;MISSED;MISSED;TRUE;TRUE;MISSED;;;;;;;
Barda'a;TRUE;TRUE;MISSED;TRUE;TRUE;1056;1063;Barda, Azerbaijan;0.75;1.0;47.12666667;40.37444444
Partaw;TRUE;TRUE;MISSED;MISSED;TRUE;1065;1071;Barda, Azerbaijan;0.3484848737716675;0.3636363744735718;47.12666667;40.37444444
Lord's;FALSE;FALSE;;;;1143;1149;Lord's Cricket Ground;0.18234455585479736;0.2587841749191284;-0.1727;51.5294
Dwin;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Greek;;;FALSE;;;;;;;;;
Byzantine (territory);TRUE;TRUE;TRUE;MISSED;MISSED;475;484;Byzantine Empire;0.34622931480407715;0.3722924292087555;;
Armenian (lords);;;FALSE;;;;;;;;;
Amatunik' House;;;;;FALSE;;;;;;;
Kogh;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Iberian (border);FALSE;TRUE;MISSED;MISSED;MISSED;794;801;Iberian Peninsula;0.17888610064983368;0.09881847351789473;-4.0;40.5
Georgian (border);TRUE;TRUE;MISSED;MISSED;MISSED;802;810;Georgia (country);0.2789611220359802;0.4141660630702973;43.5;42.0
Armenian (fugitives);FALSE;FALSE;;;;915;923;Armenia;0.25400710105896;0.379287987947464;45.0;40.0
Akamsis;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Chorokh;TRUE;TRUE;MISSED;MISSED;TRUE;956;963;Çoruh River;0.37546735943;0.754675;41.5742;41.6047
Tayk;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Egeria;MISSED;MISSED;TRUE;TRUE;TRUE;;;;;;;
Pontic;TRUE;TRUE;MISSED;MISSED;TRUE;1101;1107;Black Sea;0.3260984718799591;0.14005602896213531;35.0;44.0
Black Sea;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Byzantine (emperor);FALSE;FALSE;;;;1192;1201;Byzantine Empire;0.3523635566234589;0.3722924292087555;;
Armenia;TRUE;TRUE;TRUE;TRUE;TRUE;1394;1401;Armenia;0.5958771705627441;0.9456886649131776;45.0;40.0
Gibeonites;FALSE;FALSE;;;;1495;1505;Gibeon (ancient city);0.3846153914928436;0.7692307829856873;;
Dwin;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Church’s;;;;;FALSE;;;;;;;
