text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Mahmet;;;FALSE;;;;;;;;;
Byzantium;TRUE;TRUE;TRUE;MISSED;MISSED;263;272;Byzantium;0.4336611032485962;0.369848906993866;28.98472222;41.01527778
Judaea;TRUE;TRUE;TRUE;MISSED;MISSED;496;502;Judea (Roman province);0.3922858834266663;0.5686812996864319;34.9;32.5
Judaea;TRUE;TRUE;TRUE;TRUE;TRUE;621;627;Judea (Roman province);0.4460195302963257;0.5686812996864319;34.9;32.5
Asorestan;TRUE;TRUE;TRUE;TRUE;MISSED;632;641;Asōristān;0.5815574526786804;1.0;47.57805556;30.89472222
Christians;;;FALSE;;;;;;;;;
Judaea;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Asorestan;TRUE;TRUE;TRUE;TRUE;TRUE;1024;1033;Asōristān;0.6487069129943848;1.0;47.57805556;30.89472222
Madiam;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Byzantines;FALSE;FALSE;;;;1828;1838;Byzantine Empire;0.2588341236114502;0.3051455914974213;;
Judaea;TRUE;TRUE;TRUE;MISSED;MISSED;1947;1953;Judea (Roman province);0.3950458467006683;0.5686812996864319;34.9;32.5
Byzantines;FALSE;FALSE;;;;1987;1997;Byzantine Empire;0.2588341236114502;0.3051455914974213;;
Judaea;TRUE;TRUE;TRUE;TRUE;TRUE;2032;2038;Judea (Roman province);0.31366103887557983;0.5686812996864319;34.9;32.5
Saracens;;;FALSE;;;;;;;;;
Judaea;TRUE;TRUE;MISSED;TRUE;TRUE;2104;2110;Judea (Roman province);0.4504024386405945;0.5686812996864319;34.9;32.5
Asorestan;TRUE;TRUE;TRUE;TRUE;MISSED;2115;2124;Asōristān;0.5815574526786804;1.0;47.57805556;30.89472222
Arabia;FALSE;TRUE;TRUE;TRUE;TRUE;2706;2712;Arabian Peninsula;0.12841348350048065;0.08523093163967133;46.0;23.0
Madiam;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Byzantines;FALSE;FALSE;;;;2719;2729;Byzantine Empire;0.2815829813480377;0.3051455914974213;;
Byzantine;FALSE;FALSE;FALSE;;;2873;2882;Byzantine Empire;0.3404908776283264;0.3722924292087555;;
Byzantine;FALSE;FALSE;FALSE;;;3417;3426;Byzantine Empire;0.3215086460113525;0.3722924292087555;;
Byzantine;FALSE;FALSE;;;;3590;3599;Byzantine Empire;0.2517154216766357;0.3722924292087555;;
Ishmaelites;;;FALSE;FALSE;;;;;;;;
Judaea;TRUE;TRUE;TRUE;TRUE;TRUE;3728;3734;Judea (Roman province);0.4066768288612366;0.5686812996864319;34.9;32.5
Asorestan;TRUE;TRUE;TRUE;TRUE;TRUE;3739;3748;Asōristān;0.7446724176406859;1.0;47.57805556;30.89472222
Jerusalem;FALSE;TRUE;TRUE;TRUE;TRUE;3802;3811;Kingdom of Jerusalem;0.3695585727691649;0.5162236094474792;;
Judaea;TRUE;TRUE;MISSED;MISSED;TRUE;3856;3862;Judea (Roman province);0.4448281824588776;0.5686812996864319;34.9;32.5
Asorik;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Byzantium;TRUE;TRUE;TRUE;MISSED;TRUE;3913;3922;Byzantine Empire;0.386129230260849;0.369848906993866;;
Byzantines;FALSE;FALSE;;;;3946;3956;Byzantium;0.3561260700225829;0.3051455914974213;28.98472222;41.01527778
Ishmaelites;;;FALSE;FALSE;;;;;;;;
Judaea;TRUE;TRUE;TRUE;MISSED;TRUE;4028;4034;Judea (Roman province);0.5213125348091125;0.5686812996864319;34.9;32.5
