text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Land of Khurasan;TRUE;TRUE;TRUE;MISSED;MISSED;276;284;Khorasan Province;0.4749403297901154;0.9498806595802308;;
Ishmael;;;FALSE;FALSE;;;;;;;;
Land of Khurasan;TRUE;TRUE;TRUE;TRUE;TRUE;559;567;Greater Khorasan;0.5304336547851562;0.9498806595802308;;
Khurasanian (troops);;;FALSE;;;;;;;;;
Kahat;FALSE;FALSE;;;;697;702;Tell Barri;0.30000001192092896;0.6000000238418579;41.12722222;36.73916667
Syria;FALSE;TRUE;MISSED;TRUE;TRUE;998;1003;Syria;0.5563439130783081;0.7532447576522827;38.0;35.0
Hashim;;;FALSE;;;;;;;;;
Tigris River;TRUE;TRUE;MISSED;TRUE;TRUE;1334;1346;Tigris;0.2763975262641907;0.5527950525283813;39.77277778;38.43333333
Marwan;;;;FALSE;;;;;;;;
Tachik;;;FALSE;;FALSE;;;;;;;
al-Kufa;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Akogha;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
Abbasid;FALSE;FALSE;;;;1474;1481;Abbasid Caliphate;0.4786927998065949;0.7115275263786316;;
al-Kufa;TRUE;TRUE;MISSED;MISSED;TRUE;1551;1558;Kufa;0.3431282937526703;0.4705882370471954;44.4;32.03
Basra;TRUE;TRUE;TRUE;TRUE;TRUE;1605;1610;Basra;0.4223380982875824;0.8446761965751648;47.81666667;30.5
Abbasids;FALSE;FALSE;;;;1890;1898;Abbasid Caliphate;0.3385758996009827;0.5365853905677795;;
Abbasids;FALSE;FALSE;;;;2678;2686;Abbasid Caliphate;0.3343213796615601;0.5365853905677795;;
Marwan;;;FALSE;FALSE;FALSE;;;;;;;
Marwan;;;FALSE;FALSE;FALSE;;;;;;;
Marwan;;;FALSE;FALSE;FALSE;;;;;;;
