text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Ashot;;;FALSE;;;;;;;;;
Ashot;;;FALSE;;;;;;;;;
Grigor;;;FALSE;;;;;;;;;
Christ;;;FALSE;;;;;;;;;
Amenap'rkich';MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Dariwnk';MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Romans;FALSE;FALSE;FALSE;;;85;91;Ancient Rome;0.21760348975658414;0.28374776244163513;;
Bagratuni;FALSE;FALSE;FALSE;;FALSE;242;251;Bagratid Armenia;0.31814295053482056;0.3475609719753265;;
Armenian (lords);FALSE;FALSE;FALSE;;;291;299;Armenia;0.2336513102054596;0.379287987947464;45.0;40.0
Ashot;;;FALSE;;;;;;;;;
Armenia;TRUE;TRUE;TRUE;TRUE;MISSED;1342;1349;Armenia;0.6248906850814819;0.9456886649131776;45.0;40.0
Byzantine (troops);FALSE;FALSE;FALSE;;;1489;1498;Byzantine Empire;0.42700737714767456;0.3722924292087555;;
Byzantine;FALSE;FALSE;;;;1547;1556;Byzantine Empire;0.24447001516819;0.3722924292087555;;
Justinian;;;FALSE;;;;;;;;;
Land of the Khazars;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
Xak’an;;;;FALSE;;;;;;;;
King of the Khazars;;;FALSE;;;;;;;;;
(khan of the) Bulghars;;;;FALSE;;;;;;;;
Justinian;;;FALSE;;;;;;;;;
Constantinople;TRUE;TRUE;MISSED;MISSED;TRUE;2135;2149;Constantinople;0.5701031684875488;0.7938305735588074;28.95555556;41.01388889
Khazar (troops);;;FALSE;;;;;;;;;
Ishmael;;;FALSE;FALSE;;;;;;;;
Land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Mark’;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Xram;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Xoshakunik;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Jugha;TRUE;TRUE;MISSED;TRUE;TRUE;2628;2633;Julfa, Azerbaijan (city);0.18929189443588254;0.3684210479259491;45.63083333;38.95583333
Satan;;;FALSE;FALSE;;;;;;;;
Armenian (troops);FALSE;FALSE;FALSE;;;3117;3125;Armenia;0.2506433725357056;0.379287987947464;45.0;40.0
Kogovit;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
[clan’s];;;;;FALSE;;;;;;;
Dariwnk’;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
