text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
northern areas;FALSE;FALSE;MISSED;MISSED;;50;64;Gilgit-Baltistan;0.1604042649269104;0.09298085421323776;75.9;35.35
Khazar (king);;;FALSE;;;;;;;;;
land of the Armenians;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
land of the Huns;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Chora;FALSE;TRUE;MISSED;MISSED;TRUE;367;372;Chora Church;0.11762642860412598;0.09537572413682938;28.93916667;41.03111111
country of the Mazk'ut;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Paytakaran;TRUE;TRUE;MISSED;MISSED;TRUE;428;438;Paytakaran;0.5;1.0;48.4333;39.2333
Arax River;TRUE;TRUE;MISSED;TRUE;TRUE;458;468;Aras (river);0.4318181872367859;0.8636363744735718;48.4535;40.0184
country of the Iranians;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
Artawe't;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Gandzak;TRUE;TRUE;MISSED;MISSED;TRUE;524;531;Ganja, Azerbaijan;0.43153536319732666;0.5600000023841858;46.36055556;40.68277778
"E""t'shibaguan";MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Spantaran;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Ormizd P’eroz;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Djarrah;;;FALSE;;;;;;;;;
Arminiya;TRUE;TRUE;TRUE;MISSED;MISSED;762;770;Arminiya;0.7390840649604797;1.0;;
Zarewand;MISSED;MISSED;TRUE;TRUE;TRUE;;;;;;;
Ampriotik;MISSED;MISSED;MISSED;MISSED;MISSED;;;;;;;
Artawe't;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Ampriotik;MISSED;MISSED;TRUE;MISSED;MISSED;;;;;;;
Ishmaelite;;;FALSE;;;;;;;;;
Arminiya;TRUE;TRUE;MISSED;TRUE;TRUE;1221;1229;Arminiya;0.660546064376831;1.0;;
Ampriotik;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
caliph;FALSE;FALSE;;;;1912;1918;Fatimid Caliphate;0.4401300549507141;0.6095178127288818;;
Maslama;;;FALSE;;;;;;;;;
al-Malik;FALSE;FALSE;;;;1970;1978;Almaliq, Xinjiang;0.2916666567325592;0.5833333134651184;80.53305556;44.24
caliph;FALSE;FALSE;;;;2675;2681;Fatimid Caliphate;0.5381914973258972;0.6095178127288818;;
