text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Byzantines;FALSE;FALSE;;;;133;143;Byzantine Empire;0.3546581268310547;0.3051455914974213;;
Armenia;TRUE;TRUE;TRUE;TRUE;MISSED;228;235;Armenia;0.5273088216781616;0.9456886649131776;45.0;40.0
Smbat;;;;FALSE;;;;;;;;
Byzantine army;FALSE;FALSE;FALSE;;;341;355;Byzantine Empire;0.26248446106910706;0.4525939226150513;;
Byzantines;FALSE;FALSE;;;;404;414;Byzantine Empire;0.2958996891975403;0.3051455914974213;;
Payik;MISSED;MISSED;TRUE;MISSED;TRUE;;;;;;;
Armenian (troops);;;FALSE;;;;;;;;;
Byzantine (troops);FALSE;FALSE;FALSE;;;571;580;Byzantine Empire;0.3447933793067932;0.3722924292087555;;
Byzantine army;FALSE;FALSE;FALSE;;;641;655;Byzantine Empire;0.44793739914894093;0.4525939226150513;;
Byzantine (troops);FALSE;FALSE;FALSE;;;706;715;Byzantine Empire;0.27650806307792664;0.3722924292087555;;
